FILE		 lo_corr	 CPnovar	 CPvar	 CPzero	 Pzero	 CPgrnd	 Pgrnd	
m1c5r7.htb   4.00     --     -- 0.6380 0.15400 0.7154 0.00000
m1c74r2.htb   3.00     --     -- 0.5540 0.41550 0.7446 0.00000
m1c84r9.htb   4.00     --     -- 0.2397 0.00050 0.3793 0.00150
m1c89r7.htb   4.00     --     -- 0.4771 0.75250 0.4961 0.93850
m1c105r5.htb   0.00     --     -- 0.4299 0.29250 0.4830 0.55450
m1c107r7.htb   0.00     --     -- 0.8097 0.00000 0.7716 0.00000
m1c111r5.htb   0.00     --     -- 0.5362 0.59800 0.5540 0.07300
m1c112r4.htb   0.00     --     -- 0.7852 0.00150 0.8023 0.00000
m1c115r6.htb   0.00     --     -- 0.6228 0.18400 0.5920 0.05950
m1c116r4.htb   0.00     --     -- 0.4862 0.87300 0.5232 0.59750
m1c118r5.htb   1.50     --     -- 0.5942 0.22250 0.5640 0.07250
m1c119r6.htb   0.00     --     -- 0.5764 0.24100 0.6278 0.00000
m1c121r6.htb   0.00     --     -- 0.7400 0.00050 0.7663 0.00000
m1c125r5.htb   0.00     --     -- 0.7188 0.02750 0.7507 0.00000
m1c126r6.htb   0.00     --     -- 0.7500 0.00000 0.7705 0.00000
m1c127r7.htb   0.00     --     -- 0.5787 0.22900 0.6268 0.00000
m1c128r6.htb   0.00     --     -- 0.5556 0.56400 0.6084 0.01000
m1c129r5.htb   0.00     --     -- 0.6010 0.27000 0.7234 0.00000
m1c134r6.htb   0.00     --     -- 0.8420 0.00000 0.7960 0.00000
m1c144r7.htb   0.00     --     -- 0.6745 0.00600 0.6354 0.00000
m1c145r7.htb   0.00     --     -- 0.5348 0.62000 0.5519 0.12250
m1c152r7.htb   0.00 0.5000 0.5000 0.5000 0.99650 0.5564 0.22750
m1c153r5.htb   0.00 0.4297 0.4596 0.4596 0.74650 0.4537 0.27600
m1c154r7.htb   0.00 0.6303 0.5903 0.6088 0.12850 0.5943 0.01100
m1c156r6.htb   0.00     --     -- 0.3269 0.07150 0.3462 0.00100
m1c157r5.htb   0.00     --     -- 0.4122 0.40350 0.4647 0.39800
m1c159r9.htb   0.00     --     -- 0.4531 0.61200 0.5289 0.47900
m1c160r6.htb   0.00 0.5714 0.5625 0.5625 0.63850 0.6714 0.00000
m1c162r6.htb   0.00 0.8132 0.8627 0.8132 0.01800 0.6336 0.00200
m1c163r6.htb   0.00 0.7594 0.8120 0.7765 0.00000 0.7498 0.00000
