FILE	 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 Nthr	 NSlp	 Mthr	 MSlp	 NthrSim	 NslpSim	 DspLo	 DspHi	 Ntrials	
m1c5r7.htb	  270.0	  11.00	 -0.200	  -6.00	   0.40	   7.00	 17.12582	 1.21045	 29.94185	 2.01137	 14.26026	 1.15887	 -0.200	  0.600	  200	
m1c74r2.htb	  290.0	   2.20	 -0.700	  -9.20	  -4.00	  10.00	 15.45413	 1.15198	 23.20831	 1.36104	 12.33626	 1.11733	 -0.700	  0.500	  400	
m1c84r9.htb	  280.0	   8.00	  0.200	  -6.00	  -5.30	   5.00	 16.54027	 1.43359	 24.07821	 1.27533	 13.27156	 1.38081	 -0.600	  0.200	  320	
m1c89r7.htb	  270.0	   1.00	  0.250	  -6.40	  -6.40	   7.00	 25.61106	 1.35476	 26.96907	 3.14067	 24.01701	 1.51951	 -0.500	  0.250	  220	
m1c105r5.htb	   75.0	   4.00	  0.200	  -8.10	  -5.70	   9.00	 19.13484	 1.93164	 23.96264	 1.78324	 16.46701	 1.96265	 -0.600	  0.200	  546	
m1c107r7.htb	  105.0	   1.00	 -0.200	  -7.10	  -2.30	   8.00	 13.40090	 1.23928	 16.39719	 1.37864	 10.98486	 1.22299	 -0.200	  0.200	  560	
m1c111r5.htb	  350.0	   6.00	  0.500	  -6.60	  -1.70	   9.00	 21.25089	 2.21929	 13.56887	 1.14313	 17.59985	 2.00081	 -0.500	  0.500	  560	
m1c112r4.htb	  160.0	   4.00	 -0.400	  -6.50	  -2.90	   7.00	 10.24610	 0.65682	 14.57010	 0.81236	 6.92075	 0.63053	 -0.400	  0.600	  280	
m1c115r6.htb	  170.0	  15.00	 -1.000	  -4.80	   1.50	   7.50	 33.44001	 1.26434	 16.60772	 0.77923	 28.60042	 1.13026	 -1.000	  0.400	  240	
m1c116r4.htb	  130.0	  15.00	  0.400	  -2.60	   5.00	   7.50	 83.17858	 0.66972	 17.79568	 1.04905	 49.49600	 0.71590	 -0.800	  0.400	  280	
m1c118r5.htb	  120.0	  16.00	 -1.000	  -5.30	   0.30	   7.50	 19.83019	 1.32571	 26.40608	 1.44832	 16.64711	 1.17402	 -1.000	  0.500	  372	
m1c119r6.htb	  245.0	   6.00	 -0.800	  -8.40	  -0.50	  10.00	 24.20970	 1.52669	 16.49239	 1.20025	 20.35316	 1.42271	 -0.800	  0.800	  560	
m1c121r6.htb	  130.0	   6.00	 -0.800	  -3.20	  -0.20	   5.50	 32.89461	 2.07992	 26.64611	 1.42410	 28.74110	 2.02469	 -0.800	  0.400	  560	
m1c125r5.htb	  170.0	   8.00	 -0.700	  -4.00	  -2.20	   7.00	 14.92812	 1.70386	 20.91864	 2.38349	 12.01836	 1.76318	 -0.700	  0.400	  280	
m1c126r6.htb	    0.0	   7.00	 -0.800	  -6.10	   0.05	   7.00	 10.72805	 1.15470	 15.21083	 1.32475	 8.39919	 1.10731	 -0.800	  0.500	  560	
m1c127r7.htb	  155.0	   7.00	 -0.600	  -6.70	   0.90	   8.00	 23.07567	 2.02446	 17.63616	 1.59568	 20.48934	 1.96384	 -0.600	  0.600	  560	
m1c128r6.htb	   60.0	   1.50	 -0.500	  -6.40	   3.70	  12.00	 26.09894	 1.13634	 19.84815	 0.93719	 21.48924	 1.27320	 -0.500	  0.500	  271	
m1c129r5.htb	  110.0	   1.00	  0.600	  -5.60	   0.40	   4.00	 32.54293	 2.29057	 25.52864	 1.37775	 28.80829	 2.03224	 -0.600	  0.600	  280	
m1c134r6.htb	  250.0	  20.00	 -0.400	  -1.80	   5.60	   6.00	 23.41837	 1.36234	 23.12745	 1.34938	 19.17360	 1.35082	 -0.400	  0.400	  460	
m1c144r7.htb	  315.0	   3.00	  0.200	  -0.90	  -2.00	   4.00	 22.02486	 1.44981	 26.53676	 1.61999	 18.14397	 1.55220	 -0.400	  0.200	  560	
m1c145r7.htb	  170.0	   4.00	  0.200	  -2.90	  -1.20	   5.00	 15.24309	 1.01048	 20.12520	 1.04240	 11.52961	 0.98538	 -0.600	  0.200	  544	
m1c152r7.htb	  210.0	  32.00	  0.300	  -6.60	  -1.50	  12.00	 13.75567	 0.93121	 33.91052	 2.26917	 9.63115	 0.79707	 -0.300	  0.300	  283	
