File	       Hemisphere	AP(mm)	ML(mm)	Depth(mm)
m1c100r1.htb	L	7.8	14	9.595
m1c101r1.htb	L	8.6	13.2	9.902
m1c102r1.htb	L	8.6	13.2	10.032
m1c103r1.htb	L	7.8	14.8	9
m1c104r1.htb	L	7.8	14.8	8.73
m1c105r1.htb	L	7.8	15.6	9.806
m1c107r1.htb	L	7.8	15.6	9.996
m1c108r1.htb	L	8.6	13.2	9.765
m1c109r1.htb	L	8.6	13.2	10.179
m1c110r1.htb	L	7.8	14	9.726
m1c111r1.htb	L	7.8	14	9.896
m1c112r1.htb	L	7	14.8	11.602
m1c113r1.htb	L	7	14.8	10.785
m1c115r1.htb	L	7.8	13.2	8.117
m1c116r1.htb	L	7.8	13.2	7.638
m1c117r1.htb	L	7.8	13.2	10
m1c118r1.htb	L	7	14	10.533
m1c119r1.htb	L	8.6	13.2	10.738
m1c120r1.htb	L	7	14.8	11.32
m1c121r1.htb	L	7.8	13.2	9.7
m1c124r1.htb	L	8.6	13.2	9.877
m1c126r1.htb	L	7	14.8	12.04
m1c188r1.htb	L	8.6	13.2	9.614
m1c191r1.htb	L	9.4	13.2	9.54
m1c192r1.htb	L	9.4	12.4	10.9
m1c194r1.htb	L	9.4	12.4	10.9
m1c195r1.htb	L	9.4	12.4	10.66
m1c196r1.htb	L	9.4	12.4	10.73
m1c197r1.htb	L	9.4	12.4	11.36
m1c198r1.htb	L	9.4	12.4	11.45
m1c199r1.htb	L	9.4	12.4	10.2
m1c200r1.htb	L	7.8	14	12.05
m1c202r1.htb	L	8.6	14	12.69
m1c203r1.htb	L	8.6	14	12.03
m1c204r1.htb	L	8.6	14	12.6
m1c205r1.htb	L	8.6	14	12.6
m1c206r1.htb	L	8.6	14.8	11
m1c207r1.htb	L	9.4	14	11.54
m1c208r1.htb	L	9.4	14	11.42
m1c210r1.htb	L	9.4	14	9.19
m1c213r1.htb	L	9.4	12.4	9.81
m1c214r1.htb	L	7.8	12.4	11.15
m1c215r1.htb	L	7.8	12.4	11.36
m1c216r1.htb	L	7.8	12.4	11.6
m1c217r1.htb	L	8.6	14	10.75
m1c218r1.htb	L	8.6	14	10.75
m1c220r1.htb	L	9.4	13.2	9.69
m1c221r1.htb	L	9.4	13.2	12.5
m1c222r1.htb	L	9.4	13.2	9.3
m1c223r1.htb	L	9.4	13.2	9.16
m1c224r1.htb	L	9.4	13.2	8.99
m1c225r1.htb	L	9.4	13.2	9.26
m1c226r1.htb	L	9.4	13.2	9.28
m1c227r1.htb	L	9.4	13.2	9.72
m1c228r1.htb	L	9.4	13.2	9.12
m1c229r1.htb	L	8.6	14	10.53
m1c230r2.htb	L	8.6	14	11.11
m1c233r1.htb	L	8.6	12.4	10.05
m1c234r1.htb	L	8.6	12.4	10.25
m1c235r1.htb	L	8.6	12.4	10.2
m1c236r1.htb	L	8.6	12.4	10.6
m1c237r1.htb	L	9.4	14	9.35
m1c238r1.htb	L	9.4	14	9.45
m1c239r1.htb	L	9.4	14	9.51
m1c240r1.htb	L	9.4	14	9.85
m1c242r1.htb	L	9.4	14	9.13
m1c243r1.htb	L	9.4	14	9.29
m1c244r1.htb	L	8.6	14.8	10.26
m1c245r1.htb	L	8.6	14.8	10.45
m1c246r1.htb	L	8.6	12.4	12.07
m1c247r2.htb	L	8.6	12.4	11.6
m1c248r1.htb	L	8.6	12.4	11.7
m1c249r1.htb	L	8.6	12.4	12.3
m1c251r1.htb	L	8.6	14	13.23
m1c252r1.htb	L	8.6	14	10.69
m1c255r1.htb	L	7.8	12.4	9.72
m1c256r1.htb	R	7.8	11.6	9.3
m1c257r1.htb	R	7	12.4	8.07
m1c258r1.htb	R	7	12.4	8.5
m1c259r1.htb	R	7	12.4	8.59
m1c260r1.htb	R	7	12.4	8.03
m1c261r1.htb	R	7	12.4	8.12
m1c262r1.htb	R	7	11.6	10.41
m1c263r1.htb	R	7	11.6	11.1
m1c264r1.htb	R	7	11.6	9.14
m1c265r1.htb	R	7	11.6	9.33
m1c266r1.htb	R	7	11.6	9.73
m1c267r1.htb	R	7	13.2	8.16
m1c268r1.htb	R	7	13.2	8.06
m1c269r1.htb	R	7	13.2	8.2
m1c270r1.htb	R	7	13.2	8.08
m1c271r1.htb	R	7	13.2	8.33
m1c272r1.htb	R	7.8	11.6	9.38
m1c273r1.htb	R	7.8	11.6	9.17
m1c274r1.htb	R	7.8	11.6	9.46
m1c275r1.htb	R	7.8	11.6	8.38
m1c276r1.htb	R	7.8	11.6	8.61
m1c277r1.htb	R	7.8	11.6	8.22
m1c278r1.htb	R	7	11.6	8.6
m1c279r1.htb	R	7	11.6	8.4
m1c281r1.htb	R	7.8	12.4	8.32
m1c282r1.htb	R	7.8	12.4	8.57
m1c283r1.htb	R	7.8	12.4	8.36
m1c284r1.htb	R	7.8	12.4	8.62
m1c285r1.htb	R	7.8	12.4	871
m1c286r1.htb	R	7	11.6	12.38
m1c287r1.htb	R	7	11.6	10
m1c289r1.htb	R	7	11.6	11.9
m1c290r1.htb	R	5.4	14	11.6
m1c291r1.htb	R	5.4	14	11.7
m1c292r1.htb	R	5.4	14	11.78
m1c293r1.htb	R	5.4	14	11.98
m1c294r1.htb	R	5.4	14	10.35
m1c296r1.htb	R	5.4	14	10.73
m1c297r1.htb	R	5.4	14	10.96
m1c299r1.htb	R	6.2	13.2	87.8
m1c300r1.htb	R	6.2	13.2	9.44
m1c302r1.htb	R	6.2	13.2	8.08
m1c303r1.htb	R	6.2	13.2	8.55
m1c304r1.htb	R	6.2	13.2	8.42
m1c305r1.htb	R	6.2	13.2	8.3
m1c306r1.htb	R	6.2	13.2	12.02
m1c308r1.htb	R	5.4	15.6	9.84
m1c309r1.htb	R	5.4	15.6	9.55
m1c310r1.htb	R	5.4	15.6	9.25
m1c311r1.htb	R	5.4	15.6	9.16
m1c312r1.htb	R	5.4	15.6	9.16
m1c314r1.htb	R	6.2	14.8	10.02
m1c315r1.htb	R	6.2	14.8	10.08
m1c316r1.htb	R	6.2	14.8	8.17
m1c317r1.htb	R	6.2	14.8	8.65
m1c318r1.htb	R	6.2	14.8	8.79
m1c319r1.htb	R	6.2	14.8	9.55
m1c320r1.htb	R	6.2	14.8	9.7
m1c321r1.htb	R	5.4	14.8	9.68
m1c322r1.htb	R	5.4	14.8	9.8
m1c323r1.htb	R	5.4	14.8	8.69
m1c324r1.htb	R	5.4	14.8	9.17
m1c325r1.htb	R	5.4	14.8	9.57
m1c326r1.htb	R	5.4	14.8	9
m1c327r1.htb	R	5.4	14.8	9.23
m1c328r1.htb	R	6.2	14	8.44
m1c330r1.htb	R	6.2	14	8.46
m1c331r1.htb	R	6.2	15.6	8.82
m1c332r1.htb	R	6.2	15.6	9.04
m1c333r1.htb	R	6.2	15.6	9.1
m1c334r1.htb	R	6.2	14	8.65
m1c335r1.htb	R	6.2	14	8.77
m1c340r1.htb	R	6.2	14	10.43
m1c342r1.htb	R	6.2	14	9.64
m1c343r1.htb	R	6.2	12.4	7.47
m1c345r1.htb	R	6.2	12.4	7.72
m1c347r1.htb	R	6.2	12.4	8.09
m1c348r1.htb	R	6.2	12.4	7.74
m1c349r1.htb	R	6.2	12.4	7.82
m1c350r1.htb	R	6.2	12.4	7.6
